"№";"Раздел";"Арх.компонент / Элемент";"Параметр (название)";"Тип";"Значения справочника / варианты"
"44";"Детальная информация";"Система-источник";"Пилот";"Выбор из справочника (одиночный)";"Первичный
Повторный"
"45";"Детальная информация";"Система-источник";"Наличие юридического основания для пилота";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"46";"Детальная информация";"Система-источник";"Требуется хэширование/ шифрование";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"47";"Детальная информация";"Система-источник";"Режим обмена данными";"Выбор из справочника (одиночный)";"Односторонний
Двусторонний
Неизвестно"
"48";"Детальная информация";"Система-источник";"Тип загрузки данных";"Выбор из справочника (одиночный)";"Однократный
Регламентный"
"49";"Детальная информация";"Система-источник";"Предусмотрено проведение конкурса";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"50";"Детальная информация";"Система-источник";"Форма договора";"Выбор из справочника (одиночный)";"Неизвестно
Стандартная
Нестандартная"
"51";"Детальная информация";"Система-источник";"Требуется разметка данных источника";"Логический (Да/Нет)";""
"52";"Детальная информация";"Система-источник";"Размер модели разметки данных";"Выбор из справочника (одиночный)";"Точечное
Малое
Среднее
Большое
Масштабное"
"53";"Детальная информация";"Система-источник";"Требуется новая модель для автоматической разметки данных";"Логический (Да/Нет)";""
"54";"Детальная информация";"Система-источник";"Сложность настройки шаблона разметки данных";"Выбор из справочника (одиночный)";"Высокая
Средняя
Низкая
Неизвестно"
"55";"Детальная информация";"Система-источник";"Требуется подготовка сырых данных для загрузки в ИС 1860";"Логический (Да/Нет)";""
"56";"Детальная информация";"Система-источник";"Требуется донастройка ИС 1860 под выбранную модель разметки данных";"Логический (Да/Нет)";""
"57";"Детальная информация";"Система-источник";"Сложность конфигурации модели разметки данных";"Выбор из справочника (одиночный)";"Высокая
Средняя
Низкая
Неизвестно"
"58";"Детальная информация";"Система-источник";"Требуется регламентный импорт/экспорт данных или отчетности в/из ИС 1860";"Логический (Да/Нет)";""
"59";"Детальная информация";"Система-источник";"Сложность реализации";"Выбор из справочника (одиночный)";"Высокая
Средняя
Низкая
Неизвестно"
"60";"Детальная информация";"Система-источник";"Требуются специальные условия хранения и обработки конфиденциальных данных, не поддерживаемые коммунальным сервисом";"Логический (Да/Нет)";""
"61";"Детальная информация";"Система-источник";"Требуется ручная обработка результатов автоматизированной разметки данных";"Логический (Да/Нет)";""
"62";"Детальная информация";"Процесс обработки данных";"Название процесса";"Строка (свободный ввод)";""
"63";"Детальная информация";"Процесс обработки данных";"Тип работ";"Выбор из справочника (одиночный)";"Разработка
Доработка
Настройка"
"64";"Детальная информация";"Процесс обработки данных";"Способ предоставления данных заказчику";"Выбор из справочника (одиночный)";"Напрямую
Опосредованно
Неизвестно"
"65";"Детальная информация";"Процесс обработки данных";"Сложность реализации";"Выбор из справочника (одиночный)";"Низкая
Средняя
Высокая
Неизвестно"
"66";"Детальная информация";"Процесс обработки данных";"Наличие конфиденциальных данных";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"67";"Детальная информация";"Процесс обработки данных";"Требуется хэширование/ шифрование";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"68";"Детальная информация";"Процесс обработки данных";"Двусторонний обмен данными";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"69";"Детальная информация";"Процесс обработки данных";"Тип процесса обработки данных";"Выбор из справочника (одиночный)";"Пакетный
Потоковый"
"70";"Детальная информация";"Объект/Витрина данных";"Название объекта/витрины данных";"Строка (свободный ввод)";""
"71";"Детальная информация";"Объект/Витрина данных";"Тип работ";"Выбор из справочника (одиночный)";"Разработка
Доработка
Настройка"
"72";"Детальная информация";"Объект/Витрина данных";"Наличие готовых пром витрин (необходима продуктивизация)";"Логический (Да/Нет)";""
"73";"Детальная информация";"Объект/Витрина данных";"Реализуется в Хранилище признаков";"Логический (Да/Нет)";""
"74";"Детальная информация";"Объект/Витрина данных";"Содержит сырые данные";"Логический (Да/Нет)";""
"75";"Детальная информация";"Объект/Витрина данных";"Требуется парсинг сырых данных";"Логический (Да/Нет)";""
"76";"Детальная информация";"Объект/Витрина данных";"Количество признаков";"Число";""
"77";"Детальная информация";"Объект/Витрина данных";"Сложность реализации";"Выбор из справочника (одиночный)";"Высокая
Средняя
Низкая
Неизвестно"
"78";"Детальная информация";"Объект/Витрина данных";"Слой хранения";"Выбор из справочника (одиночный)";"Холодный
Теплый
Горячий
Потоковый"
"79";"Детальная информация";"Объект/Витрина данных";"Требуется контроль качества Признаков";"Логический (Да/Нет)";""
"80";"Детальная информация";"Объект/Витрина данных";"Количество контролей качества признаков";"Число";""
"81";"Детальная информация";"Объект/Витрина данных";"Необходимо уточнение требований по составу выгружаемых данных и алгоритмам расчета метрик";"Логический (Да/Нет)";""
"82";"Детальная информация";"Объект/Витрина данных";"Необходима продуктивизация";"Логический (Да/Нет)";""
"83";"Детальная информация";"Объект/Витрина данных";"Количество метрик";"Число";""
"84";"Детальная информация";"Объект/Витрина данных";"Способ предоставления данных заказчику";"Выбор из справочника (одиночный)";"Непосредственно
Опосредованно
Неизвестно"
"85";"Детальная информация";"Объект/Витрина данных";"Наличие конфиденциальных данных";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"86";"Детальная информация";"Объект/Витрина данных";"Требуется хэширование/ шифрование";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"87";"Детальная информация";"Объект/Витрина данных";"Двусторонний обмен данными";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"88";"Детальная информация";"Модель";"Название модели";"Строка (свободный ввод)";""
"89";"Детальная информация";"Модель";"Тип работ";"Выбор из справочника (одиночный)";"Обучение
Дообучение
Калибровка"
"90";"Детальная информация";"Модель";"Роль модели";"Выбор из справочника (одиночный)";"Обычная
Оркестратор"
"91";"Детальная информация";"Модель";"Сложность алгоритма / тип ML задачи";"Выбор из справочника (одиночный)";"Табличные данные
Текстовая аналитика — Классические модели
Текстовая аналитика — LLM
Аудио-аналитика
Компьютерное зрение
Оптимизационная задача
Гео-аналитика
Графовая аналитика"
"92";"Детальная информация";"Модель";"Необходимость AutoML";"Логический (Да/Нет)";""
"93";"Детальная информация";"Модель";"AutoML: требуется новая библиотека";"Логический (Да/Нет)";""
"94";"Детальная информация";"Модель";"AutoML: требуется постановка на регламент";"Логический (Да/Нет)";""
"95";"Детальная информация";"Модель";"AutoML: требуется преобразование данных";"Логический (Да/Нет)";""
"96";"Детальная информация";"Модель";"AutoML: встраивание внешнего кода";"Логический (Да/Нет)";""
"97";"Детальная информация";"Типовые работы";"Наименование";"Строка (из справочника по триггеру)";""
"98";"Детальная информация";"Типовые работы";"Базовая оценка";"Число (из норматива)";""
"99";"Детальная информация";"Типовые работы";"Коэффициент";"Число (параметры трудоемкости по заданной формуле)";""
"100";"Детальная информация";"Типовые работы";"Итог";"Число (расчетное)";""
"101";"Детальная информация";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"102";"Детальная информация";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"103";"Детальная информация";"Нетиповые работы";"Оценка";"Число";""
"104";"Детальная информация";"Нетиповые работы";"Коэффициент";"Число";""
"105";"Детальная информация";"Нетиповые работы";"Итог";"Число (расчетное)";""
"106";"Детальная информация";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «Платформы и решения для моделирования»";"";"";"";"";""
"107";"Стрим «Платформы и решения для моделирования»";"";"Локальные параметры";"Множественный выбор";""
"108";"Стрим «Платформы и решения для моделирования»";"Типовые работы";"Наименование";"Строка (из справочника по триггеру)";""
"109";"Стрим «Платформы и решения для моделирования»";"Типовые работы";"Базовая оценка";"Число (из норматива)";""
"110";"Стрим «Платформы и решения для моделирования»";"Типовые работы";"Коэффициент";"Число (параметры трудоемкости по заданной формуле)";""
"111";"Стрим «Платформы и решения для моделирования»";"Типовые работы";"Итог";"Число (расчетное)";""
"112";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"113";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"114";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Оценка";"Число";""
"115";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Коэффициент";"Число";""
"116";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"117";"Стрим «Платформы и решения для моделирования»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «ДАДМ»";"";"";"";"";""
"118";"Стрим «ДАДМ»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"119";"Стрим «ДАДМ»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"120";"Стрим «ДАДМ»";"Нетиповые работы";"Оценка";"Число";""
"121";"Стрим «ДАДМ»";"Нетиповые работы";"Коэффициент";"Число";""
"122";"Стрим «ДАДМ»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"123";"Стрим «ДАДМ»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «Источники данных»";"";"";"";"";""
"124";"Стрим «Источники данных»";"Локальные параметры Источников данных";"Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"125";"Стрим «Источники данных»";"Локальные параметры Источников данных";"Объем изменений в ТИС";"Выбор из справочника (одиночный)";"Неизвестно
Точечное (1-4)
Малое (5-9)
Среднее (9-15)
Крупное (15-20)
Большое (20-25)
Масштабное (25+)"
"126";"Стрим «Источники данных»";"Локальные параметры Источников данных";"Необходимость изучения регламентов Банка";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"127";"Стрим «Источники данных»";"Локальные параметры Источников данных";"Необходимо пересогласование артефакта";"Выбор из справочника (одиночный)";"Да
Нет
Неизвестно"
"128";"Стрим «Источники данных»";"Типовые работы";"Наименование";"Строка (из справочника по триггеру)";""
"129";"Стрим «Источники данных»";"Типовые работы";"Базовая оценка";"Число (из норматива)";""
"130";"Стрим «Источники данных»";"Типовые работы";"Коэффициент";"Число (параметры трудоемкости по заданной формуле)";""
"131";"Стрим «Источники данных»";"Типовые работы";"Итог";"Число (расчетное)";""
"132";"Стрим «Источники данных»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"133";"Стрим «Источники данных»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"134";"Стрим «Источники данных»";"Нетиповые работы";"Оценка";"Число";""
"135";"Стрим «Источники данных»";"Нетиповые работы";"Коэффициент";"Число";""
"136";"Стрим «Источники данных»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"137";"Стрим «Источники данных»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «Контроль моделей»";"";"";"";"";""
"138";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Количество интеграционных решений";"Число";""
"139";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Необходимость подготовки документов";"Логический (Да/Нет)";""
"140";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Новый вид контроля";"Логический (Да/Нет)";""
"141";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Применение модельного сервиса в разных контурах (region и inno.local)";"Логический (Да/Нет)";""
"142";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Требуется проработка структуры логов";"Логический (Да/Нет)";""
"143";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Требуется контроль для каждой модели сервиса в отдельности";"Логический (Да/Нет)";""
"144";"Стрим «Контроль моделей»";"Локальные параметры Контроля моделей";"Разнородность пользовательских сценариев  применения модельного сервиса";"Множественный выбор (справочник)";"Нет
Единая структура логов
Разные структуры логов"
"145";"Стрим «Контроль моделей»";"Типовые работы";"Наименование";"Строка (из справочника по триггеру)";""
"146";"Стрим «Контроль моделей»";"Типовые работы";"Базовая оценка";"Число (из норматива)";""
"147";"Стрим «Контроль моделей»";"Типовые работы";"Коэффициент";"Число (параметры трудоемкости по заданной формуле)";""
"148";"Стрим «Контроль моделей»";"Типовые работы";"Итог";"Число (расчетное)";""
"149";"Стрим «Контроль моделей»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"150";"Стрим «Контроль моделей»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"151";"Стрим «Контроль моделей»";"Нетиповые работы";"Оценка";"Число";""
"152";"Стрим «Контроль моделей»";"Нетиповые работы";"Коэффициент";"Число";""
"153";"Стрим «Контроль моделей»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"154";"Стрим «Контроль моделей»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «Цифровые агенты»";"";"";"";"";""
"155";"Стрим «Цифровые агенты»";"";"Локальные параметры";"Множественный выбор";""
"156";"Стрим «Цифровые агенты»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"157";"Стрим «Цифровые агенты»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"158";"Стрим «Цифровые агенты»";"Нетиповые работы";"Оценка";"Число";""
"159";"Стрим «Цифровые агенты»";"Нетиповые работы";"Коэффициент";"Число";""
"160";"Стрим «Цифровые агенты»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"161";"Стрим «Цифровые агенты»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Стрим «Потоковые данные»";"";"";"";"";""
"162";"Стрим «Потоковые данные»";"";"Локальные параметры";"Множественный выбор";""
"163";"Стрим «Потоковые данные»";"Нетиповые работы";"Наименование";"Строка (свободный ввод)";""
"164";"Стрим «Потоковые данные»";"Нетиповые работы";"Тип работ";"Выбор из справочника (одиночный)";"Архитектурная задача
Линейная деятельность
Новая функциональность
Сопровождение
Технический долг"
"165";"Стрим «Потоковые данные»";"Нетиповые работы";"Оценка";"Число";""
"166";"Стрим «Потоковые данные»";"Нетиповые работы";"Коэффициент";"Число";""
"167";"Стрим «Потоковые данные»";"Нетиповые работы";"Итог";"Число (расчетное)";""
"168";"Стрим «Потоковые данные»";"Нетиповые работы";"Включить в расчёт";"Логический (Да/Нет)";""
"▸ Расчёт общей неопределённости";"";"";"";"";""
