"Стрим";"К чему привязан/Расположение на UI";"Наименование параметра";"Значение параметра";"Вид параметра";"Тип контрола";"Комментарий аналитика"
"Источники данных";"Детальная информация -Объект/Витрина данных - Параметры";"Количество метрик";"до 20 метрик
20-50 метрик
>50 метрик";"Справочник";"";""
"Источники данных - Внутренний";"Детальная информация - Система-источник - Параметры";"Готовы интеграции, выполнены доработки источников к выводу в ПРОМ";"Да
Нет";"Справочник";"Single-select";""
"Источники данных - Внутренний";"Детальная информация - Система-источник - Параметры";"Необходима доработка источник т к выводу в ПРОМ";"Да
Нет";"Справочник";"Single-select";""
"Источники данных - Внутренний";"Детальная информация - Система-источник - Параметры";"Требуются интеграции с промежуточными системами (например СХК,СФП, и тд)";"Да
Нет";"Справочник";"Single-select";""
"Источники данных- Внутренний";"Детальная информация - Система-источник - Параметры";"Требуется мониторинг (таблиц/ источника/Витрины)";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внутренний";"Источники данных - локальные параметры";"Инициировано предыдущим этапом (например, инициировано загрузкой, в которой уже прошла часть аналитики)";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внутренний";"Источники данных - локальные параметры";"Сложность предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.";"Низкая (×0.75)
Средняя (×1.0)
Высокая (×1.5)
Неизвестно (×1.0..1.25)
Масштабное (×1.75)";"Справочник";"Single-select";""
"Источники данных - Внутренний";"Источники данных - локальные параметры";"Объем запроса по сущностям. Ориентировочное соответствие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соответствие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыте работы с подобными сущностями и количества описывающих сущность атрибутов.";"Точечное
Малое (×0.75)
Среднее (×1.0)
Большое (×1.25)
Масштабное (×1.5..1.75)";"Справочник";"Single-select";"Соответствует справочнику №28."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком";"Высокая (×0.75)
Средняя (×1.25)
Низкая (×1.5)
Неизвестно (×1.0)";"Справочник";"Single-select";"Соответствует справочнику №29."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Определены ли исследуемые источник(и) или исследование предполагает их поиск";"Источники определены (0,75)
Требуется поиск источников (1,25)";"Логический признак";"Single-select";"Соответствует логическому признаку №7 (для внешних данных, этап 214)."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Конкретизированы ли искомые данные или состав/объём данных понадобится в каждом источнике определять в согласовании с заказчиком";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Необходимо ли заключение NDA";"Да (×1.25)
Нет (×0)
Неизвестно (×1.0)";"Справочник";"Single-select";"Соответствует справочнику №42 (этапы 214, 215, 216, 217)."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Согласен ли Источник на стандартную форму NDA";"Да
Нет";"Логический признак";"Single-select";"Соответствует логическому признаку №5 (этапы 214–217)."
"Источники данных";"Детальная информация -Процессы Обработки данных - Параметры";"Предмет исследования включает в себя конфиденциальные данные";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных";"Детальная информация -Объект/Витрина данных - Параметры";"Предмет исследования включает в себя конфиденциальные данные";"Да
Нет";"Логический признак";"Single-select";"."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Предмет исследования включает в себя конфиденциальные данные";"Да
Нет";"Логический признак";"Single-select";"."
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Новый пилот или повторный";"Новый пилот; Повторный пилот; Разовая загрузка";"Справочник";"Single-select";"Соответствует справочнику №41 (этапы 215, 220)."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Есть ли юридические основания для проведения пилота / разовой загрузки";"Да (×0)
Нет (×1.25)
Неизвестно (×1.0)";"Справочник";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Пилот / разовая загрузка предусматривает обмен конфиденциальными данными";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Пилот / разовая загрузка предусматривает хэширование/шифрование";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Пилот / разовая загрузка предусматривает двусторонний обмен данными";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Источники данных - локальный параметры";"Предусматривает ли пилот разовую загрузку командой Облако в ИС храрнения Банка?";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Договор предусматривает регламентную или разовую загрузу";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Предусмотрено ли проведение соревновательной процедуры (конкурса)";"Не предусмотрено (×0);
Неизвестно (×1.0);
Предусмотрено (×1.25)";"Справочник";"Single-select";"Соответствует справочнику №45 (этап 216)."
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Согласен ли Источник на стандартную форму договора Банка";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация - Система источник - Параметры";"Новое решение или доработка существующего";"Новое (×1.1);
Доработка (×0.75); Неизвестно (×1.0)";"Справочник";"Single-select";"Соответствует справочнику №31."
"Источники данных - Внешний";"Источники данных - локальный параметры";"Известны ли все стеикхолдеры (владелец сервиса, разработчик модели / витрин, РП и тд.)";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Данные необходимы заказчику непосредственно или через витрины / модель";"Непосредственно (×0.8);
Опосредованно через витрины / модель (×1.2);
Неизвестно (×1.0)";"Справочник";"Single-select";"Соответствует справочнику №35."
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Есть ли юридические основания для реализация решения по обмену данными";"Да (×0);
Нет (×1.25);
Неизвестно (×1.0)";"Справочник";"Single-select";"Соответствует справочнику №43 (этапы 215, 217)."
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Сложность реализации. Определяется техническим лидом команды/стрима исполнителя.";"Низкая;
Средняя (×1.0);
Высокая (×1.5); Неизвестно (×1.25)";"Справочник";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Объект/Витрина данных - Параметры";"Сложность реализации. Определяется техническим лидом команды/стрима исполнителя.";"Низкая
Средняя (×1.0)
Высокая (×1.5)
Неизвестно (×1.25)";"Справочник";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Процессы Обработки данных - Параметры";"Сложность логики формирования витрины и предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.";"Низкая;
Средняя;
Высокая;
Неизвестно";"Справочник";"Single-select";""
"Источники данных - Внешний";"Детальная информация -Объект/Витрина данных - Параметры";"Сложность логики формирования витрины и предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.";"Низкая;
Средняя;
Высокая;
Неизвестно";"Справочник";"Single-select";""
"Источники данных - Внешний";"Источники данных - локальный параметры";"Объем изменения, вносимого в ТИС";"Точечное;
Малое (×0.75);
Среднее (×1.0);
Большое (×1.25);
Масштабное (×1.5..1.75)";"Справочник";"Single-select";"Соответствует справочнику №34 (калькулятор OUT). Локальный параметр."
"Источники данных - Внешний";"Источники данных - локальный параметры";"Необходимо ли изучение регламентов Банка по ведению радактируемого раздела";"Да
Нет";"Логический признак";"Single-select";""
"Источники данных - Внешний";"Источники данных - локальный параметры";"Необходимо ли пеерсогласование артефакта";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется подключение ИС к РЕПО";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Необходимость организации интерфейса (при невозможности другого подхода)";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Признак АвтоМЛ";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Предоставление внешнего кода";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Требуется преобразование данных";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Требуется постановка на регламент";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Требуется новая библиотека";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Процессы Обработки данных - Параметры";"Необходимость автосетрификации";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Процессы Обработки данных - Параметры";"Хранилище признаков (процесс обработки экспортирует данные в Хранилище признаков)";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Сырые данные";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Теплый признак";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Горячий признак";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Потоковый признак";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется контроль качества";"Да
Нет";"Логический признак";"Single-select";"Вычисляется по количеству контролей качества"
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется разметка данных для подготовки обучающего датасета";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется новая модель для автоматической разметки данных";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется доработка бизнес-функционала";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется автоматический импорт/экспорт неразмеченных/размеченных данных или данных отчетности";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется обновление ИС 1860 Маркер";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Требуется обработка персональных или иных данных, требующих специальных условий хранения и обработки, не реализуемых на коммунальном инстансе";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется функционал системы";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется визуализация данных и аналитика";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Требуется новая библиотека/ базовая модель";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется расширение инфраструктуры кластера";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется новая модель";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Требуется НТ";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Проект использует ГПУ ИС 1655";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Выполнение КРС утилизации серверов";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация - Модель - Параметры";"Требуется функционал системы";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Детальная информация -Объект/Витрина данных - Параметры";"Необходимость логирования";"Да
Нет";"Логический признак";"Single-select";""
"ПиРМ (Модельный стрим)";"Общая информация - Модельный сервис - Параметры";"Необходимость логирования";"Да
Нет";"Логический признак";"Single-select";""
