Блок;Раздел;Название в смарт-анкете СУМ;Тип элемента;Тип справочника или значения
Детальная Информация;Арх. Компонент. Система-источник;Размер модели разметки данных;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется донастройка ИС 1860 под выбранную модель разметки данных;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Сложность конфигурации модели разметки данных;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется регламентный импорт/экспорт данных или отчетности в/из ИС 1860;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Сложность реализации;Справочник;"Неизвестно
Высокая
Средняя
Низкая"
Детальная Информация;Арх. Компонент. Система-источник;Требуются специальные условия хранения и обработки конфиденциальных данных, не поддерживаемые коммунальным сервисом;Да/нет;
Детальная Информация;Арх. Компонент. Система-источник;Требуется ручная обработка результатов автоматизированной разметки данных;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Требуется визуализация результатов работы модельного сервиса;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Тип БД для BI-системы;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Способ загрузки данных в BI-систему;Справочник;"Ручной
Автоматизированный"
Общая информация;Параметры;Регуляторные требования;Справочник;"1. Проведение регулярной валидации Регулятором нормативно не установлено.
2. Проведение регулярной валидации Регулятором нормативно не установлено. Модель оценки риска
3. Проведение регулярной валидации Регулятором нормативно не установлено. Заказчик запрашивает проведение первичной валидации модели
4. Банком не планируется предоставление Модели Регулятору, но регулярная валидация установлена Регулятором
5. Банком планируется предоставление Модели Регулятору для одобрения к использованию"
Общая информация;Параметры;Требуется создание информационной системы;Да/нет;
Общая информация;Параметры;Требуется создание сервиса;Да/нет;
Общая информация;Параметры;Общая неопределенность;Справочник;Разложена на параметры ниже
Общая информация;Параметры;Сроки инициативы;Справочник;"Менее 1 мес. (Низкая)
1-4 мес. (Средняя)
4-10 мес. (Существенная)
10-18 мес. (Высокая)
Более 18 мес. (Неприемлемая)"
Общая информация;Параметры;Стоимость инициативы;Справочник;"до 45.3 млн (Низкая)
45.3-438 млн (Средняя)
438-870 млн (Существенная)
870 млн-2 млрд (Высокая)
от 2 млрд (Неприемлемая)"
Общая информация;Параметры;Поправка на общую неопределенность;Число;
Общая информация;Параметры;Риски проекта;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Изменение, недостаточная проработка или сложности бизнес процессов Банка;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Наличие дефектов во внедряемом решении/ ПО в рамках проекта;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Негативное влияние смежных проектов на показатели проекта;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Увеличение трудозатрат проекта по причине недостаточной проработки требований на этапе планирования проекта;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Недобросовестное исполнение услуг со стороны привлеченных контрагентов/ подрядчиков;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Отсутствие квалифицированного персонала или ошибок персонала;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Введение санкционных мер и других ограничений;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Недостаток или отсутствие контрольных процедур;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Изменение регуляторных требований;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Неиспользование ИС после завершения проекта;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Общая информация;Параметры;Изменения целевой ИТ архитектуры Банка;Справочник;"Не применимо
Очень высокая (≥1р/6 мес)
Высокая (1р/год)
Средняя (1р/1-3 года)
Низкая (1р/3-10 лет)
Очень низкая (≤1р/10 лет)"
Детальная Информация;Арх. Компонент. Объект данных;Синхронизировать с ИД, использовать единый параметр;Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Необходимость пилота (MVP);Да/нет;
Общая информация;Арх. Компонент. Модельный сервис;Необходимость поддержки проведения пилота;Да/нет;
Детальная Информация;Арх. Компонент. Модель;Сложность алгоритма / тип ML задачи;Справочник;"Табличные данные
Текстовая аналитика — Классические модели
Текстовая аналитика — LLM
Аудио аналитика 
Оптимизационная задача
Гео-аналитика
Графовая аналитика"
Детальная Информация;Арх. Компонент. Объект данных;Необходимость продуктивизации;Да/нет;
;;;;
;;;;
;;;;
;;;;
;;;;
