"№";"Наименование";"Категория";"Существующий/новый";"Тип контрола";"Источник";"Значения";"Атрибуты записи";"Комментарии"
"28";"Объём запроса по сущностям";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Точечное
Малое (×0.75)
Среднее (×1.0)
Большое (×1.25)
Масштабное (×1.5..1.75)";"Код
Наименование
Коэффициент";"Проверить встречу"
"29";"Детализация и ясность запроса (RDS)";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Высокая (×0.75)
Средняя (×1.25)
Низкая (×1.5)
Неизвестно (×1.0)";"Код
Наименование
Коэффициент";""
"30";"Сложность реализации (техническая)";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Низкая
Средняя (×1.0)
Высокая (×1.5)
Неизвестно (×1.25)";"Код
Наименование
Коэффициент";""
"31";"Новизна решения";"Прикладной";"Новый?";"Single-select";"Источники Данных, калькулятор IN, калькулятор OUT";"Новое (×1.1) 
Доработка (×0.75)
Неизвестно (×1.0)";"Код
Наименование
Коэффициент";"Похоже на тип работ архитектурного компонента"
"32";"Готовность к интеграции в ПД";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN";"Высокая готовность, доработки не требуются (×0.5)
Доработки ИС, простая архитектура (×0.8)
Сложная интеграция, доработка источника (×1.2)";"Код
описание
коэф. К Базе";""
"33";"Сложность загрузки внутренних данных";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор IN";"L1 — исследование интегрированного источника / ранее похожее (×0.5)
L2 — значит. кол-во открытых вопросов, ранее не исследованная тема (×1.5)
L3 — неинтегрированный источник, отсутствие консультантов, выгрузки СЗ (×2.0)";"Уровень,
описание,
коэф. К Базе";"Переименовать для ясности: «Уровень готовности и сложности источника к интеграции», так как можно спутать с 34 ""Сложность реализации"" 
Обсудить"
"34";"Объём изменения в ТИС";"Методологический (с коэф.)";"Новый";"Single-select";"Источники Данных, калькулятор OUT";"Точечное
Малое (×0.75)
Среднее (×1.0)
Большое (×1.25)
Масштабное (×1.5..1.75)";"Код
Наименование
Коэффициент";""
"35";"Тип данных, необходимых заказчику";"Прикладной";"Новый";"Single-select";"Источники Данных, калькулятор OUT";"Непосредственно (×0.8)
Опосредованно через витрины / модель (×1.2)
Неизвестно (×1.0)";"Код
Наименование
Коэффициент";""
"36";"Размерность витрины (метрики)";"Методологический (с коэф.)";"Не справочник";"Single-select";"Источники Данных, калькулятор IN";"до 20 метрик (×0) 
20–50 метрик (×0.2) 
>50 метрик (×0.4)";"Код
диапазон
коэф. К Базе";"Указывать количество, не справочник"
"37";"Этапы работ стрима «Источники данных»";"Методологический";"?";"Системный (не выбирается пользователем)";"Источники Данных, калькулятор IN, калькулятор OUT";"Внутренние данные:
210 - Исследование
211 - Разработка БТ
212 - Сопровождение Интеграции
230 - Мониторинг

Внешние данные:
214 - Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников
215 - Проведение пилота по внешним данным
216 - Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных
217 -  Решение по обмену данными
218 - Разработка БТ для витрин на внешних данных
219 - Ведение артефактов ТИС
220 - Облако данных ETL / DANN
230 - Мониторинг
260 - Поставка данных (основной эпик)
б/н - Поддержка систем и сервисов больших данных ЛПА";"Код этапа
Наименование
Состав параметров
Базовая оценка";"Добавить префикс этапа в название типовых работ"
"38";"Стрим-исполнитель";"Организационный";"Существующий";"Single-select";"";"";"";"Необходимо зафиксировать полный список команд/стримов с атрибутами: ID, Наименование, Ответственный, Стрим-родитель"
"39";"Департамент заказчика";"Организационный";"Существующий";"Multi-select флажков";"";"";"";"Необходимо зафиксировать полный список департаментов"
"40";"Нормативные трудозатраты контроля моделей";"Методологический";"Новый";"";"Конфигуратор LT, Контроль моделей";"Матрица
 1. Класс модели → 
 2. нормативная оценка в ч/д для каждого вида контроля
 3. + ОСР (общестримовые ресурсы) 
 4. + MS (model support) 
 5. + K (весовой коэффициент)";"";""
"41";"Тип пилота / разовой загрузки";"Методологический";"Новый";"Single-select";"Источники Данных, калькулятор OUT
Этап 215, 220";"Новый пилот
Повторный пилот
Разовая загрузка";"Код
Наименование
Коэф. (×1.1 / ×0.75 / …)
""Этап 215, 220";"Возможно, связать со справочниками Необходимость пилота
Необходимость поддержки проведения пилота
Необходимость реализации пилотной модели (MVP)

Суть параметра? Может ли быть пилот по загрузке данных при остутсвии пилота модели?"
"42";"Необходимость заключения NDA";"Методологический";"Новый";"Single-select";"Источники Данных, калькулятор OUT
Этап 214, 215, 216, 217";"Нет (×0)
Да (×1.25)
Неизвестно (×1.0)";"Код
Наименование
Коэффициент";""
"43";"Наличие юридических оснований для обмена данными";"Методологический";"Новый";"Single-select";"Источники Данных, калькулятор OUT
Этап 215, 217";"Да (×0)
Нет (×1.25)
Неизвестно (×1.0)";"Код
Наименование
Коэффициент";""
"44";"Особенности обмена данными (конфиденциальность, шифрование, двусторонний)";"Методологический";"Подумать как лучше: каждый пункт на логический параметр или мультиселект. Цель - удобство";"Multi-select флажков";"Источники Данных, калькулятор OUT
Этап 215, 216, 217, 218";"Конфиденциальные данные
Хэширование и шифрование
Двусторонний обмен";"Код
Наименование
Коэф. при наличии признака";"Три связанных параметра (конфиденциальность, шифрование/хэширование, двусторонний обмен) встречаются вместе на 4 этапах внешнего калькулятора. Каждый имеет коэффициент. Объединить в один справочник «Характеристики обмена данными» с multi-select — так как одна семантическая группа."
"45";"Тип соревновательной процедуры";"Методологический";"Новый";"Single-select";"Источники Данных, калькулятор OUT
216";"Не предусмотрено (×0)
Неизвестно (×1.0)
Предусмотрено (×1.25)";"Код
Наименование
Коэффициент";""
"46";"Типовые работы стрима ""Источники данных""";"Методологический";"Новый";"Системный (не выбирается пользователем)";"Источники Данных, калькулятор OUT, Калькулятор IN
Все этапы";"Исследование источника (список из 7 задач)
Разработка БТ (список из 8 задач)
Сопровождение интеграции (спиосок из 5 задач)
....";"";"Преобразование к виду этапов работ источников данных?"
"47";"Типовые работы стрима ""Контроль моделей""";"Методологический";"Новый";"То же самое что нормативные трудозатраты, дубль";"";"Качество модельных данных
Технический контроль
Оперативный контроль
Аналитический контроль
Контроль модельных значений
Оценка влияния моделей
Оценка реализации на пре-промышленном контуре
Оценка новых интеграционных решений";"";"Переформулировать (привести к виду описания работ) и согласовать формулировки"
