Sheet: Параметры Платформенный стрим
Источники данных,Объект / Набор данных,Кол-во витрин к выводу в ПРОМ (общее),Этап_212. Сопровождение Интеграции (Витрина/Интеграция). Организация процесса загрузки внутренних данных в Платформу данных для целей моделирования,,Числовой счётчик,6,Числовое поле (stepper): ввод целого числа ≥ 0; итоговая сумма п.10+11 должна совпадать с п.9 — встроенная валидация
Источники данных,?,"1. Кол-во источников к выводу в ПРОМ (готовы к интеграции, доработки выполнены)",Этап_212. Сопровождение Интеграции (Витрина/Интеграция). Организация процесса загрузки внутренних данных в Платформу данных для целей моделирования,,Числовой счётчик,4,Числовое поле (stepper) + авто-проверка: сумма п.10 + п.11 ≤ п.9
Источники данных,?,2. Кол-во источников к выводу в ПРОМ (необходима доработка),Этап_212. Сопровождение Интеграции (Витрина/Интеграция). Организация процесса загрузки внутренних данных в Платформу данных для целей моделирования,,Числовой счётчик,2,Числовое поле (stepper) + авто-проверка: сумма п.10 + п.11 ≤ п.9
Источники данных,Процесс обработки данных,"Кол-во интеграций с промежуточными системами (например СХК,СФП, и тд)",Этап_212. Сопровождение Интеграции (Витрина/Интеграция). Организация процесса загрузки внутренних данных в Платформу данных для целей моделирования,,Числовой счётчик,3,Числовое поле (stepper): ввод целого числа ≥ 0
Источники данных,Объект / Набор данных,Кол-во объектов для мониторинга (таблиц),Этап_230. Мониторинг Источников (для Этапа_212). Процесс организации мониторинга источника/Витрины после вывода на пром,,Числовой счётчик,12,Числовое поле (stepper): ввод целого числа ≥ 0
Источники данных,?,"Инициировано предыдущим этапом (например, инициировано загрузкой, в которой уже прошла часть аналитики)","Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",,Бинарный выбор (Да / Нет),Нет,Toggle или Radio Да/Нет; при выборе «Да» — подсказка о снижающем коэффициенте 0.75
Источники данных,Информационный сервис,Сложность предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Шкала сложности (4 значения),Высокая,Segmented control: Неизвестно | Низкая | Средняя | Высокая; горизонтальное расположение с цветовой индикацией (серый→зелёный→жёлтый→красный)
Источники данных,?,Объем запроса по сущностям. Ориентировочное соответствие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соответствие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыте работы с подобными сущностями и количества описывающих сущность атрибутов.,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Шкала объёма по сущностям (6 значений),Масштабное (25+),Segmented control или Slider с 6 шагами: Т (1–4) | М (5–9) | С (9–15) | К (15–20) | Б (20–25) | Мас. (25+); тултип с диапазонами
Источники данных,?,"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком","Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Шкала детализации (4 значения),Низкая,Segmented control: Неизвестно | Низкая | Средняя | Высокая; аналог шкалы сложности
Источники данных,Система-источник,Определены ли исследуемые источник(и) или исследование предполагает их поиск,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; при «Нет» — показать доп. поле «Предполагаемые источники для поиска»
Источники данных,Система-источник,Конкретизированы ли искомые данные или состав/объём данных понадобится в каждом источнике определять в согласовании с заказчиком,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Нет» — показать предупреждение о повышающем коэффициенте
Источники данных,Система-источник,Необходимо ли заключение NDA,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Да» — разворачивается вложенный вопрос о форме NDA (п.21)
Источники данных,Система-источник,Согласен ли Источник на стандартную форму NDA,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Локальный?,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; отображается только если п.20 = «Да»; при «Нет» — коэффициент повышается
Источники данных,?,Предмет исследования включает в себя конфиденциальные данные,"Исследование и описание внешних источников, выгрузка тестовых данных, мониторинг изменений источников",Общий,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — информационный баннер «Требуется согласование ИБ»
Источники данных,Система-источник,Новый пилот или повторный,Проведение пилота по внешним данным,,Бинарный выбор (Новый / Повторный),Новый,Radio-группа: Новый | Повторный; при «Новый» — коэффициент ×1.1 отображается рядом
Источники данных,Информационный сервис,Сложность предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.,Проведение пилота по внешним данным,,Шкала сложности (4 значения),Средняя,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,?,Объем запроса по сущностям. Ориентировочное соотвествие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соотвествие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыта работы с подобными сущностями и количества описывающих сущность атрибутов.,Проведение пилота по внешним данным,,Шкала объёма по сущностям (6 значений),Среднее (9–15),Segmented control или Slider с 6 шагами: Т | М | С | К | Б | Мас.
Источники данных,?,"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком",Проведение пилота по внешним данным,,Шкала детализации (4 значения),Средняя,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,Система-источник,Необходимо ли заключение NDA,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Да» — разворачивается п.28
Источники данных,Система-источник,Согласен ли Источник на стандартную форму NDA,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; отображается только если п.27 = «Да»
Источники данных,Система-источник,Есть ли юридические основания для проведения пилота / разовой загрузки,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Нет» — предупреждение «Потребуется инициация этапа получения оснований»
Источники данных,Система-источник,Пилот / разовая загрузка предусматривает обмен конфиденциальными данными,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — информационный баннер «Требуется согласование ИБ и ЮБ»
Источники данных,?,Пилот / разовая загрузка предусматривает хэширование/шифрование,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — добавляет соответствующие работы в объём
Источники данных,?,Пилот / разовая загрузка предусматривает двусторонний обмен данными,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — добавляет соответствующие работы в объём
Источники данных,?,Предусматривает ли пилот разовую загрузку командой Облако в ИС харнения Банка?,Проведение пилота по внешним данным,Локальный?,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; при «Да» — разворачивается секция работ команды «Облако данных»
Источники данных,Информационный сервис,Сложность предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Шкала сложности (4 значения),Неизвестно,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,?,Объем запроса по сущностям. Ориентировочное соотвествие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соотвествие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыта работы с подобными сущностями и количества описывающих сущность атрибутов.,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Шкала объёма по сущностям (6 значений),Малое (5–9),Segmented control или Slider с 6 шагами: Т | М | С | К | Б | Мас.
Источники данных,?,"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком",Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Шкала детализации (4 значения),Неизвестно,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,Система-источник,Необходимо ли заключение NDA,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Неизвестно,Radio Да / Нет / Неизвестно; при «Да» — разворачивается п.38
Источники данных,Система-источник,Согласен ли Источник на стандартную форму NDA,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; отображается только если п.37 = «Да»
Источники данных,Система-источник,Договор предусматривает регламентную или разовую загрузу,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Регламентная / Разовая),Неизвестно,Radio-группа: Регламентная | Разовая | Неизвестно; от выбора зависит состав дальнейших работ
Источники данных,?,Предусмотрено ли проведение соревновательной процедуры (конкурса),Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Неизвестно,Radio Да / Нет / Неизвестно; при «Да» — отображаются работы по подготовке ТЗ и отборочной процедуре
Источники данных,Система-источник,Согласен ли Источник на стандартную форму договора Банка,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Нет» — предупреждение о повышающем коэффициенте переговоров
Источники данных,Система-источник,Договор предусматривает обмен конфиденциальными данными,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Неизвестно,Toggle; при «Да» — информационный баннер «Требуется виза ИБ»
Источники данных,Система-источник,Договор предусматривает двусторонний обмен данными,Сопровождение юридического обеспечения (ЮО) отношений Банка с Источником внешних данных,,Бинарный выбор (Да / Нет),Неизвестно,Toggle; при «Да» — добавляет соответствующие работы
Источники данных,"Процесс обработки данных, Объект / Набор данных",Новое решение или доработка существующего,260 Решение по обмену данными,,Бинарный выбор (Новое / Доработка),Новое решение,Radio-группа: Новое решение | Доработка существующего; от выбора меняется базовая оценка
Источники данных,Информационный сервис,Сложность предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.,260 Решение по обмену данными,,Шкала сложности (4 значения),Средняя,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,?,Объем запроса по сущностям. Ориентировочное соотвествие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соотвествие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыта работы с подобными сущностями и количества описывающих сущность атрибутов.,260 Решение по обмену данными,,Шкала объёма по сущностям (6 значений),Среднее (9–15),Segmented control или Slider с 6 шагами: Т | М | С | К | Б | Мас.
Источники данных,?,"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком",260 Решение по обмену данными,,Шкала детализации (4 значения),Средняя,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,Информационный сервис,"Известны ли все стеикхолдеры (владелец сервиса, разработчик модели / витрин, РП и тд.)",260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Нет» — предупреждение «Необходимо уточнить стейкхолдеров перед стартом»
Источники данных,?,Данные необходимы заказчику непосредственно или через витрины / модель,260 Решение по обмену данными,,Бинарный выбор (2 варианта),Через витрины / модель,Radio-группа: Непосредственно | Через витрины / модель; влияет на маршрутизацию задачи
Источники данных,Система-источник,Необходимо ли заключение NDA,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Да» — разворачивается п.51
Источники данных,Система-источник,Согласен ли Источник на стандартную форму NDA,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; отображается только если п.50 = «Да»
Источники данных,Система-источник,Есть ли юридические основания для реализация решения по обмену данными,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Нет» — предупреждение «Потребуется инициация получения оснований»
Источники данных,"Процесс обработки данных, Объект / Набор данных",Сложность реализации. Определяется техническим лидом команды/стрима исполнителя.,260 Решение по обмену данными,Локальный,Шкала сложности реализации (4 значения),Средняя,Segmented control: Низкая | Средняя | Высокая | Неизвестно; определяется техническим лидом
Источники данных,Система-источник,Решение предусматривает обмен конфиденциальными данными,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — информационный баннер «Требуется виза ИБ»
Источники данных,Система-источник,Решение предусматривает хэширование/шифрование,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — добавляет работы по хэшированию
Источники данных,Система-источник,Решение предусматривает двусторонний обмен данными,260 Решение по обмену данными,,Бинарный выбор (Да / Нет),Нет,Toggle; при «Да» — добавляет работы по двустороннему обмену
Источники данных,,Новое решение или доработка существующего,Разработка БТ для витрин на внешних данных,,Бинарный выбор (Новое / Доработка),Новое решение,Radio-группа: Новое решение | Доработка существующего
Источники данных,,Сложность логики формирования витрины и предметной области. Оценивается лидером команды/стрима исполнителя на основании опыта и профиля команды.,Разработка БТ для витрин на внешних данных,,Шкала сложности (4 значения),Средняя,Segmented control: Неизвестно | Низкая | Средняя | Высокая; с пояснением «сложность логики витрины»
Источники данных,,Объем запроса по сущностям. Ориентировочное соотвествие оценки к сущностям: Т: 1-4 М: 5-9 С: 9-15 К: 15-20 Б: 20-25 М: 25+. Соотвествие не точное и может отличаться. Оценивается лидером команды/стрима исполнителя на опыта работы с подобными сущностями и количества описывающих сущность атрибутов.,Разработка БТ для витрин на внешних данных,,Шкала объёма по сущностям (6 значений),Малое (5–9),Segmented control или Slider с 6 шагами: Т | М | С | К | Б | Мас.
Источники данных,,"Детализация и ясность запроса в RDS или ином артефакте, предоставляемые заказчиком",Разработка БТ для витрин на внешних данных,,Шкала детализации (4 значения),Низкая,Segmented control: Неизвестно | Низкая | Средняя | Высокая
Источники данных,,"Известны ли все стеикхолдеры (владелец сервиса, разработчик модели / витрин, РП и тд.)",Разработка БТ для витрин на внешних данных,,Бинарный выбор (Да / Нет),Да,Radio Да / Нет; при «Нет» — предупреждение «Необходимо уточнить стейкхолдеров»
Источники данных,,Данные необходимы заказчику непосредственно или через вторичные витрины / модель,Разработка БТ для витрин на внешних данных,,Бинарный выбор (2 варианта),Через вторичные витрины / модель,Radio-группа: Непосредственно | Через вторичные витрины / модель
Источники данных,?,"Объем изменения, вносимого в ТИС",Ведение артефактов ТИС,,Шкала объёма изменений (3 значения),Среднее,Segmented control: Малое | Среднее | Большое
Источники данных,?,Необходимо ли изучение регламентов Банка по ведению радактируемого раздела,Ведение артефактов ТИС,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Да» — добавляются часы на изучение регламентов
Источники данных,?,Необходимо ли пеерсогласование артефакта,Ведение артефактов ТИС,,Бинарный выбор (Да / Нет),Нет,Radio Да / Нет; при «Да» — добавляются часы на пересогласование
Источники данных,Информационный сервис,Коэф.сложности INN,,,Числовой коэффициент (десятичное число),1.25,"Числовое поле с шагом 0.05, диапазон 0.5–3.0; тултип с описанием влияния на расчёт"
Контроль моделей,Информационный сервис,Класс модели,,Общий,Выпадающий список (9 вариантов),Розничные бизнес-модели,Dropdown (Select) с 9 классами; после выбора автоматически подставляются базовые нормативы КД/ТМ/ОК/АК/КМЗ/ОВ
Контроль моделей,Информационный сервис,Виды контроля (КД / ТМ / ОК / АК / КМЗ / ОВ),,Общий,Многозначный выбор (чекбоксы),"ОК, АК",Checkbox-группа: КД | ТМ | ОК | АК | КМЗ | ОВ; горизонтальное расположение; при выборе отображается краткое описание вида контроля
Контроль моделей,Информационный сервис,#1 Рекалибровка модели,,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с меткой и тултипом; при активации — отображает коэффициент (×0.25 к ОК/АК/КМЗ) и пересчёт
Контроль моделей,Информационный сервис,#2 Использование существующей модели в другом канале,,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — отображает коэффициент (×1.0/0.75) и пересчёт
Контроль моделей,Информационный сервис,"#3 Переработка существующей модели, которая стоит на контроле",,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — отображает коэффициент (×1.0/0.75) и пересчёт
Контроль моделей,Информационный сервис,#4 Модель ПВР/Регуляторная,,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — отображает повышающий коэффициент ×1.5 и пересчёт
Контроль моделей,Информационный сервис,#5 Новый тип модели по направлению моделирования,,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — отображает повышающий коэффициент ×2.0 и пересчёт
Контроль моделей,Информационный сервис,"#6 Применение модели/сервиса в разных контурах (region и inno.local), что влечет за собой сохранение логов с результатами применения модели/сервиса в разных витринах-источниках",,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — показывает выбор контура (region / inno.local) и коэффициент ×1.1
Контроль моделей,Информационный сервис,"#7 Применение модели/сервиса для разных пользовательских сценариев (коэффициент применяется на каждый доп. сценарий, т.е. применяется коэффициент в степени n, где n — количество сценариев)",,,Числовой счётчик (кол-во сценариев),2,Числовое поле (stepper) ≥ 1; коэффициент рассчитывается как 1.05^n (или 1.5^n) — показывается динамически рядом
Контроль моделей,Информационный сервис,#8 Определенность структуры логов или необходимость её проработки (применяется при необходимости проработки структуры логов),,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — показывает коэффициент ×1.25 и пересчёт
Контроль моделей,Информационный сервис,"#9 Отсутствие необходимости контролировать работу каждой отдельной модели, требуется контролировать работу сервиса / каскада моделей",,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — меняет единицу контроля с модели на сервис/каскад
Контроль моделей,Информационный сервис,#10 Ансамбль / каскад моделей,,,Чекбокс-коэффициент (Применить / Нет),Нет,Checkbox с тултипом; при активации — показывает повышающий коэффициент ×2.3 и пересчёт

Sheet: Параметры Модельный стрим
Стрим,Архитектурный компонент,Параметр,Область применения параметра,Общий / локальный,Тип параметра,Пример значения,UX-решение
ПиРМ,Модель,1. Кол-во моделей (>1 для каскадов и ансамблей),"Все этапы разработки: 05A, 05, 05B, 07, 09; определяет ресурсный пул AutoML, кол-во конвейеров обучения и регистраций в СУМ",Общий,Числовой счётчик (целое 1–8),1,"Stepper (мин. 1, макс. 8, шаг 1);
при >1 — жёлтый баннер «Каскад/ансамбль: кол-во выбранных типов ML в п.7 должно равняться кол-ву моделей»;
значение связано с валидацией п.7 (кол-во чекбоксов ≤ значению п.1)"
ПиРМ,Информационный сервис,2. Сложность постановки задачи (уровень регуляторной валидации),"Этапы 01 (Постановка задачи), 05 (Разработка модели), 09 (Адаптация и внедрение); влияет на объём работ по регистрации в СУМ и аллокации",Общий,Шкала сложности (5 уровней),1,"Radio-группа вертикальная с 5 вариантами, у каждого — иконка ℹ️ с тултипом:
  1 — Регулярная валидация Регулятором не установлена (×1.0)
  2 — Есть модель оценки риска (×1.25)
  3 — Заказчик запрашивает первичную валидацию (×1.5)
  4 — Регулярная валидация установлена Регулятором (×1.75)
  5 — Планируется предоставление модели Регулятору (×2.0);
рядом с каждым вариантом — бейдж с коэффициентом"
ПиРМ,Информационный сервис,3. Поправка на общую неопределённость (опц.),"Все этапы — общий повышающий коэффициент инициативы;
итоговое значение = расчётное на основе вложенных параметров 3.1–3.4",Общий,Составной блок-аккордеон (опциональный),1.14,"Accordion (свёрнут по умолчанию, метка «опц.»):
  — в заголовке отображается текущий итоговый коэффициент;
  — разворачивается вручную пользователем;
  — внутри — вложенные параметры п.3.1, 3.2, 3.3, 3.4.1–3.4.11;
  — коэффициент пересчитывается при любом изменении внутри"
ПиРМ,Информационный сервис,3.1. Сроки инициативы,Параметр «Влияние» в матрице рисков п.3.4 — определяет уровень влияния по измерению «Сроки проекта»,Общий,Выпадающий список (5 диапазонов сроков),Менее 1 мес.,"Dropdown (Select):
  «Менее 1 мес.» (Низкое влияние) | «1–4 мес.» (Среднее) | «4–10 мес.» (Существенное) | «10–18 мес.» (Высокое) | «Более 18 мес.» (Неприемлемое);
виден только при развёрнутом аккордеоне п.3;
при изменении — авто-пересчёт уровня Влияния во всех строках матрицы 3.4"
ПиРМ,Информационный сервис,3.2. Стоимость инициативы,Параметр «Влияние» в матрице рисков п.3.4 — определяет уровень влияния по измерению «Стоимость проекта»,Общий,Выпадающий список (5 диапазонов стоимости),45.3 – 438 млн,"Dropdown (Select):
  «до 45.3 млн» (Низкое) | «45.3–438 млн» (Среднее) | «438–870 млн» (Существенное) | «870 млн–2 млрд» (Высокое) | «Более 2 млрд» (Неприемлемое);
Влияние = худшее из п.3.1 и п.3.2 — показывается рядом автоматически;
поля 3.1 и 3.2 становятся обязательными при наличии любого риска в матрице 3.4"
ПиРМ,Информационный сервис,3.3. Кол-во дополнительных (неопределённых) рисков (0–30),Расширение матрицы рисков доп. пользовательскими строками п.3.4,Общий,Числовой счётчик (целое 0–30),0,"Stepper (мин. 0, макс. 30, шаг 1);
при значении >0 — под матрицей п.3.4 появляется соответствующее кол-во пустых строк с полями «Название риска» (text input) + Dropdown «Вероятность»"
ПиРМ,Информационный сервис,"3.4.1. Риск: Изменение, недостаточная проработка или сложности бизнес-процессов Банка",Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,"Строка таблицы-матрицы рисков:
  — Название риска (read-only)
  — Dropdown «Вероятность»: Не применимо | Очень низкая | Низкая | Средняя | Высокая | Очень высокая
  — Поле «Влияние» (read-only, авто): Низкое | Среднее | Существенное | Высокое | Неприемлемое
  — Ячейка «Уровень риска» (тепловая карта: зелёный→жёлтый→красный);
при «Не применимо» — строка приглушена (opacity 40%)"
ПиРМ,Информационный сервис,3.4.2. Риск: Наличие дефектов во внедряемом решении / ПО в рамках проекта,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Высокая,"Строка таблицы-матрицы рисков (аналогично 3.4.1);
итоговый уровень Влияния = max(п.3.1, п.3.2)"
ПиРМ,Информационный сервис,3.4.3. Риск: Увеличение трудозатрат из-за недостаточной проработки требований,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.4. Риск: Недобросовестное исполнение услуг контрагентами / подрядчиками,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.5. Риск: Отсутствие квалифицированного персонала или кадровые ошибки,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.6. Риск: Негативное влияние смежных проектов на показатели проекта,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.7. Риск: Введение санкционных мер и других внешних ограничений,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.8. Риск: Недостаток или отсутствие контрольных процедур,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.9. Риск: Изменение регуляторных требований,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.10. Риск: Неиспользование ИС после завершения проекта,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,Строка таблицы-матрицы рисков (аналогично 3.4.1)
ПиРМ,Информационный сервис,3.4.11. Риск: Изменения целевой ИТ архитектуры Банка,Матрица рисков инициативы — составляющая коэффициента п.3,Общий,Оценка вероятности риска (6 значений),Не применимо,"Строка таблицы-матрицы рисков (аналогично 3.4.1);
ВАЛИДАЦИЯ всей матрицы: если любая строка ≠ «Не применимо», поля п.3.1 и п.3.2 становятся обязательными — подсвечиваются красной рамкой до заполнения"
ПиРМ,Объект / Набор данных,4. Наличие готовых пром витрин,Этап 02 (Поиск данных) — наличие готовых пром витрин сокращает объём поиска и проработки источников (коэф. 0.5); влияет на работы Feature Store по созданию объектов хранения,Общий,Бинарный выбор (Да / Нет),Да,"Radio-группа: «Да» | «Нет»;
при «Да» — синий информационный баннер «Этап 02 сокращён ×0.5. Доп. проработка источников не требуется»;
при «Нет» — разворачивается п.5 (кол-во источников для проработки)"
ПиРМ,Объект / Набор данных,5. Кол-во источников для проработки (при отсутствии готовых витрин),Этап 02 (Поиск данных) — только если п.4 = «Нет»; определяет объём работ по подключению пакетных/потоковых источников в Feature Store,Общий,Числовой счётчик (целое ≥ 1),3,"Stepper (мин. 1, шаг 1);
виден только при п.4 = «Нет» (условное отображение);
значение 0 недоступно — предупреждение «Укажите хотя бы 1 источник»"
