Стрим;Арх. Компонент;Название оригинальное;Название в смарт-анкете СУМ;Контекст;Тип работы;Наличие норматива;Параметр-триггер;Параметры трудоемкости;Формула;Результат выбора;Кто может заполнить;Вопросы;Справочник;Комментарии по итогу встречи 08.06
ИД. Внешний;Арх. Компонент. Система-источник;Организация и контроль проведения пилота / разовой загрузки;Этап 215. Организация и контроль проведения пилота / разовой загрузки;Этап 215;Опциональная;1,6;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Пилот (первичный, повторный).
2) Норматив: 1,6 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;"6. Предусматривает ли пилот разовую загрузку командой Облако в ИС хранения Банка?:
  Неизвестно / Да / Нет";
ИД. Внешний;Арх. Компонент. Система-источник;Прием и анализ результатов пилота / разовой загрузки;Этап 215. Прием и анализ результатов пилота / разовой загрузки;Этап 215;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Пилот (первичный, повторный).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка Отчета о проведении пилота / разовой загрузки и согласование результата;Этап 215. Подготовка Отчета о проведении пилота / разовой загрузки и согласование результата;Этап 215;Опциональная;0,7;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Пилот (первичный, повторный).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Доработка внутренней документации и инфрмационных ресурсов группы;Этап 215. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 215;Опциональная;0,8;Тип системы-источника (внешний), Пилот (первичный, повторный);"1. Пилот
2. Наличие конфиденциальных данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний), Пилот (первичный, повторный).
2) Норматив: 0,8 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Пилот] × [Наличие конфиденциальных данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Пилот: Первичный→1.1; Повторный→0.75; Не требуется→ работы пилота исключаются
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 216. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 216;Опциональная;0,7;Тип системы-источника (внешний);1. Предусмотрено проведение конкурса;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Предусмотрено проведение конкурса]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Предусмотрено проведение конкурса]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;"Указывать ли конкурс в параметрах трудоемкости?

Ранее обсуждали, что работы этапа актуальны только для источников, с которыми будет интеграция. В какой момент становится известно, будет интеграция  или нет. Кто владеет этой информацией?
Вариант решения: по наличию ребра в сторону Объекта данных";;Решение: оставить состав работ. Конкурс — отдельный параметр, не в параметрах трудоёмкости. Уточнить, актуальны ли работы этапа 216 только для источников с интеграцией.
ИД. Внешний;Арх. Компонент. Система-источник;Планирование и работа с бэклогом;Этап 216. Планирование и работа с бэклогом;Этап 216;Опциональная;0,6;Тип системы-источника (внешний);"1. NDA
2. Тип загрузки данных
3. Предусмотрено проведение конкурса
4. Форма договора";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных] × [Предусмотрено проведение конкурса] × [Форма договора]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25
  — Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
  — Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,6 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных] × [Предусмотрено проведение конкурса] × [Форма договора]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
— Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Сбор и анализ требований;Этап 216. Сбор и анализ требований;Этап 216;Опциональная;1;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25
  — Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 1 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка АЗ для заключения NDA, согласование содержания NDA;Этап 216. Подготовка АЗ для заключения NDA, согласование содержания NDA;Этап 216;Опциональная;0,6;Тип системы-источника (внешний);"1. NDA
2. Тип загрузки данных";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0; Неизвестно→1
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,6 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [NDA] × [Тип загрузки данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— NDA: Стандартное→0.75; Нестандартное→1.25; Не требуется→0 (работы NDA исключаются); Неизвестно→1
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Согласование интеграции с ИБ и ЮБ;Этап 216. Согласование интеграции с ИБ и ЮБ;Этап 216;Опциональная;0,6;Тип системы-источника (внешний);1. Тип загрузки данных;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,6 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка ТЗ для проведения соревновательной процедуры;Этап 216. Подготовка ТЗ для проведения соревновательной процедуры;Этап 216;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25
  — Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Анализ ТЗ по результатам отборочной процедуры;Этап 216. Анализ ТЗ по результатам отборочной процедуры;Этап 216;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип загрузки данных
2. Предусмотрено проведение конкурса";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25
  — Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных] × [Предусмотрено проведение конкурса]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
— Предусмотрено проведение конкурса: Да→1.25; Нет→0; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка АЗ для договора, согласование содержания договора;Этап 216. Подготовка АЗ для договора, согласование содержания договора;Этап 216;Опциональная;0,7;Тип системы-источника (внешний);1. Тип загрузки данных;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Подготовка приложения к договору;Этап 216. Подготовка приложения к договору;Этап 216;Опциональная;0,7;Тип системы-источника (внешний);1. Форма договора;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Форма договора]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,7 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Форма договора]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Форма договора: Стандартная→0.75; Нестандартная→1.25; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Система-источник;Доработка внутренней документации и инфрмационных ресурсов группы;Этап 216. Доработка внутренней документации и инфрмационных ресурсов группы;Этап 216;Опциональная;0,8;Тип системы-источника (внешний);1. Тип загрузки данных;"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип загрузки данных: Однократный→0.75; Регламентный→1.25

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,8 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип загрузки данных]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип загрузки данных: Однократный→0.75; Регламентный→1.25
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;;;
ИД. Внешний;Арх. Компонент. Процесс обработки данных;Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 217. Интервьюирование заказчика, подтверждение финансирования и обработка RDS;Этап 217;Опциональная;0,9;Тип системы-источника (внешний);"1. Тип работ
2. Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?
3. Способ предоставления данных заказчику
4. Наличие конфиденциальных данных
5. Требуется хэширование/ шифрование
6. Двусторонний обмен данными";"ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1)
  где Норматив — базовая оценка из столбца «Наличие норматива» (при всех Ki = 1 → ЧД = Норматив);
      ∏Ki — произведение коэффициентов выбранных параметров трудоёмкости.

• Округление: ОКРУГЛ.ВВЕРХ(…; 0,1) — вверх до 0,1 чд
• Итог этапа: ЧД(этап) = Σ ЧД включённых работ этапа

Переменные — параметры трудоёмкости (Ki, по умолчанию = 1):
  — Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
  — Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1
  — Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
  — Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
  — Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
  — Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1

Операнды: «×» — умножение норматива на коэффициенты Ki; при всех Ki = 1 → ЧД = Норматив.";"1) Триггер (когда работа включается): Тип системы-источника (внешний).
2) Норматив: 0,9 чд — базовый ЧД при значениях параметров по умолчанию (все K=1).
3) Формула ЧД: ЧД(работы) = ОКРУГЛ.ВВЕРХ(Норматив × [Тип работ] × [Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?] × [Способ предоставления данных заказчику] × [Наличие конфиденциальных данных] × [Требуется хэширование/ шифрование] × [Двусторонний обмен данными]; 0,1) — норматив участвует множителем; подробно см. столбец «Формула».

4) Параметры трудоёмкости (переименованы по «Параметрам по блокам»; при выборе значения подтягивается коэффициент Kпараметра):
— Тип работ: Разработка→1.1; Доработка→0.75; Настройка→0.5; Неизвестно→1
— Стейкхолдеры известны (владелец сервиса, разработчик модели / витрин, РП и тд.)?: Да→0.9; Нет→1.1; Неизвестно→1 (в целевой — Стрим «Источники данных» → Локальные параметры)
— Способ предоставления данных заказчику: Непосредственно→0.8; Опосредованно→1.2; Неизвестно→1
— Наличие конфиденциальных данных: Да→1.25; Нет→0; Неизвестно→1
— Требуется хэширование/ шифрование: Да→1.25; Нет→0.75; Неизвестно→1 (на «Система-источник» Нет→0.9)
— Двусторонний обмен данными: Да→1.25; Нет→0.75; Неизвестно→1
5) Результат по этапу: ЧД(этап) = Σ ЧД всех включённых работ этапа.";;"Состав работ добавляется по заполнению поля ""Источник для"" для арх.компонента процесс обработки данных";;"Решение: оставить как есть; срабатывание по полю ""Источник для"" арх. компонента ""Процесс обработки данных""."
